"drug","disease","classification","notes","drug_url","disease_url"
"Risperidone","conduct disorder","SYM","","http://www.drugbank.ca/drugs/DB00734","http://www.disease-ontology.org/term/DOID%3A12995"
"Risperidone","schizophrenia","SYM","","http://www.drugbank.ca/drugs/DB00734","http://www.disease-ontology.org/term/DOID%3A5419"
"Ritonavir","acquired immunodeficiency syndrome","DM","","http://www.drugbank.ca/drugs/DB00503","http://www.disease-ontology.org/term/DOID%3A635"
"Rivastigmine","Alzheimer's disease","SYM","","http://www.drugbank.ca/drugs/DB00989","http://www.disease-ontology.org/term/DOID%3A10652"
"Rivastigmine","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB00989","http://www.disease-ontology.org/term/DOID%3A14330"
"Rizatriptan","migraine","SYM","","http://www.drugbank.ca/drugs/DB00953","http://www.disease-ontology.org/term/DOID%3A6364"
"Rizatriptan","multiple sclerosis","NOT","","http://www.drugbank.ca/drugs/DB00953","http://www.disease-ontology.org/term/DOID%3A2377"
"Roflumilast","chronic obstructive pulmonary disease","DM","","http://www.drugbank.ca/drugs/DB01656","http://www.disease-ontology.org/term/DOID%3A3083"
"Ropinirole","Alzheimer's disease","SYM","","http://www.drugbank.ca/drugs/DB00268","http://www.disease-ontology.org/term/DOID%3A10652"
"Ropinirole","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB00268","http://www.disease-ontology.org/term/DOID%3A14330"
"Ropinirole","multiple sclerosis","SYM","","http://www.drugbank.ca/drugs/DB00268","http://www.disease-ontology.org/term/DOID%3A2377"
"Ropinirole","restless legs syndrome","SYM","","http://www.drugbank.ca/drugs/DB00268","http://www.disease-ontology.org/term/DOID%3A0050425"
"Rosiglitazone","type 2 diabetes mellitus","NOT","","http://www.drugbank.ca/drugs/DB00412","http://www.disease-ontology.org/term/DOID%3A9352"
"Rosuvastatin","atherosclerosis","DM","","http://www.drugbank.ca/drugs/DB01098","http://www.disease-ontology.org/term/DOID%3A1936"
"Rosuvastatin","coronary artery disease","DM","","http://www.drugbank.ca/drugs/DB01098","http://www.disease-ontology.org/term/DOID%3A3393"
"Rotigotine","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB05271","http://www.disease-ontology.org/term/DOID%3A14330"
"Rufinamide","epilepsy syndrome","SYM","","http://www.drugbank.ca/drugs/DB06201","http://www.disease-ontology.org/term/DOID%3A1826"
"Ruxolitinib","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB08877","http://www.disease-ontology.org/term/DOID%3A2531"
"Salbutamol","allergic rhinitis","SYM","","http://www.drugbank.ca/drugs/DB01001","http://www.disease-ontology.org/term/DOID%3A4481"
"Salbutamol","asthma","SYM","","http://www.drugbank.ca/drugs/DB01001","http://www.disease-ontology.org/term/DOID%3A2841"
"Salbutamol","chronic obstructive pulmonary disease","SYM","","http://www.drugbank.ca/drugs/DB01001","http://www.disease-ontology.org/term/DOID%3A3083"
"Salbutamol","hypertension","NOT","","http://www.drugbank.ca/drugs/DB01001","http://www.disease-ontology.org/term/DOID%3A10763"
"Salicylate-sodium","psoriasis","DM","","http://www.drugbank.ca/drugs/DB01398","http://www.disease-ontology.org/term/DOID%3A8893"
"Salicylic acid","psoriasis","DM","","http://www.drugbank.ca/drugs/DB00936","http://www.disease-ontology.org/term/DOID%3A8893"
