"drug","disease","classification","notes","drug_url","disease_url"
"Deferoxamine","chronic kidney failure","SYM","","http://www.drugbank.ca/drugs/DB00746","http://www.disease-ontology.org/term/DOID%3A784"
"Degarelix","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB06699","http://www.disease-ontology.org/term/DOID%3A10283"
"Delavirdine","acquired immunodeficiency syndrome","DM","","http://www.drugbank.ca/drugs/DB00705","http://www.disease-ontology.org/term/DOID%3A635"
"Desflurane","hypertension","NOT","","http://www.drugbank.ca/drugs/DB01189","http://www.disease-ontology.org/term/DOID%3A10763"
"Desipramine","attention deficit hyperactivity disorder","SYM","","http://www.drugbank.ca/drugs/DB01151","http://www.disease-ontology.org/term/DOID%3A1094"
"Desloratadine","allergic rhinitis","DM","im having a hard time with allergic rhinitis. Maybe all of these meds are SYM. ","http://www.drugbank.ca/drugs/DB00967","http://www.disease-ontology.org/term/DOID%3A4481"
"Desogestrel","polycystic ovary syndrome","SYM","","http://www.drugbank.ca/drugs/DB00304","http://www.disease-ontology.org/term/DOID%3A11612"
"Desonide","atopic dermatitis","SYM","","http://www.drugbank.ca/drugs/DB01260","http://www.disease-ontology.org/term/DOID%3A3310"
"Dexamethasone","allergic rhinitis","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A4481"
"Dexamethasone","anemia","NOT","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A2355"
"Dexamethasone","ankylosing spondylitis","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A7147"
"Dexamethasone","asthma","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A2841"
"Dexamethasone","atopic dermatitis","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A3310"
"Dexamethasone","brain cancer","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A1319"
"Dexamethasone","breast cancer","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A1612"
"Dexamethasone","colon cancer","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A219"
"Dexamethasone","hematologic cancer","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A2531"
"Dexamethasone","hypertension","NOT","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A10763"
"Dexamethasone","kidney cancer","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A263"
"Dexamethasone","multiple sclerosis","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A2377"
"Dexamethasone","prostate cancer","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A10283"
"Dexamethasone","psoriasis","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A8893"
"Dexamethasone","psoriatic arthritis","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A9008"
"Dexamethasone","rheumatoid arthritis","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A7148"
"Dexamethasone","systemic lupus erythematosus","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A9074"
"Dexamethasone","ulcerative colitis","SYM","","http://www.drugbank.ca/drugs/DB01234","http://www.disease-ontology.org/term/DOID%3A8577"
"Dexrazoxane","breast cancer","NOT","","http://www.drugbank.ca/drugs/DB00380","http://www.disease-ontology.org/term/DOID%3A1612"
"Dextroamphetamine","attention deficit hyperactivity disorder","SYM","","http://www.drugbank.ca/drugs/DB01576","http://www.disease-ontology.org/term/DOID%3A1094"
"Dextroamphetamine","narcolepsy","SYM","Pilot classification: symptomatic; Pilot notes:","http://www.drugbank.ca/drugs/DB01576","http://www.disease-ontology.org/term/DOID%3A8986"
"Dextromethorphan","amyotrophic lateral sclerosis","SYM","","http://www.drugbank.ca/drugs/DB00514","http://www.disease-ontology.org/term/DOID%3A332"
"Dextromethorphan","multiple sclerosis","SYM","","http://www.drugbank.ca/drugs/DB00514","http://www.disease-ontology.org/term/DOID%3A2377"
"Dextrothyroxine","Graves' disease","NOT","","http://www.drugbank.ca/drugs/DB00509","http://www.disease-ontology.org/term/DOID%3A12361"
"Dextrothyroxine","coronary artery disease","NOT","Pilot classification: disease-modifying; Pilot notes: cholesterol lowering agent; pulled due to cardiac side effects","http://www.drugbank.ca/drugs/DB00509","http://www.disease-ontology.org/term/DOID%3A3393"
"Dextrothyroxine","hypothyroidism","NOT","","http://www.drugbank.ca/drugs/DB00509","http://www.disease-ontology.org/term/DOID%3A1459"
"Dextrothyroxine","thyroid cancer","NOT","","http://www.drugbank.ca/drugs/DB00509","http://www.disease-ontology.org/term/DOID%3A1781"
"Diazepam","epilepsy syndrome","SYM","","http://www.drugbank.ca/drugs/DB00829","http://www.disease-ontology.org/term/DOID%3A1826"
"Diazepam","multiple sclerosis","SYM","","http://www.drugbank.ca/drugs/DB00829","http://www.disease-ontology.org/term/DOID%3A2377"
"Diazepam","panic disorder","SYM","","http://www.drugbank.ca/drugs/DB00829","http://www.disease-ontology.org/term/DOID%3A594"
"Diazoxide","hypertension","SYM","tx of acute htn","http://www.drugbank.ca/drugs/DB01119","http://www.disease-ontology.org/term/DOID%3A10763"
"Diclofenac","ankylosing spondylitis","SYM","","http://www.drugbank.ca/drugs/DB00586","http://www.disease-ontology.org/term/DOID%3A7147"
"Diclofenac","migraine","SYM","","http://www.drugbank.ca/drugs/DB00586","http://www.disease-ontology.org/term/DOID%3A6364"
"Diclofenac","osteoarthritis","SYM","","http://www.drugbank.ca/drugs/DB00586","http://www.disease-ontology.org/term/DOID%3A8398"
"Diclofenac","rheumatoid arthritis","SYM","","http://www.drugbank.ca/drugs/DB00586","http://www.disease-ontology.org/term/DOID%3A7148"
"Diclofenac","systemic scleroderma","SYM","","http://www.drugbank.ca/drugs/DB00586","http://www.disease-ontology.org/term/DOID%3A418"
"Diclofenamide","glaucoma","DM","","http://www.drugbank.ca/drugs/DB01144","http://www.disease-ontology.org/term/DOID%3A1686"
"Didanosine","acquired immunodeficiency syndrome","DM","","http://www.drugbank.ca/drugs/DB00900","http://www.disease-ontology.org/term/DOID%3A635"
"Diethylpropion","obesity","SYM","","http://www.drugbank.ca/drugs/DB00937","http://www.disease-ontology.org/term/DOID%3A9970"
"Diflunisal","osteoarthritis","SYM","","http://www.drugbank.ca/drugs/DB00861","http://www.disease-ontology.org/term/DOID%3A8398"
"Diflunisal","rheumatoid arthritis","SYM","","http://www.drugbank.ca/drugs/DB00861","http://www.disease-ontology.org/term/DOID%3A7148"
"Digoxin","coronary artery disease","NOT","","http://www.drugbank.ca/drugs/DB00390","http://www.disease-ontology.org/term/DOID%3A3393"
"Digoxin","dilated cardiomyopathy","DM","","http://www.drugbank.ca/drugs/DB00390","http://www.disease-ontology.org/term/DOID%3A12930"
"Dihydroergotamine","migraine","SYM","","http://www.drugbank.ca/drugs/DB00320","http://www.disease-ontology.org/term/DOID%3A6364"
"Diltiazem","coronary artery disease","NOT","","http://www.drugbank.ca/drugs/DB00343","http://www.disease-ontology.org/term/DOID%3A3393"
"Diltiazem","hypertension","DM","","http://www.drugbank.ca/drugs/DB00343","http://www.disease-ontology.org/term/DOID%3A10763"
"Dimenhydrinate","Parkinson's disease","NOT","","http://www.drugbank.ca/drugs/DB00985","http://www.disease-ontology.org/term/DOID%3A14330"
"Dimenhydrinate","allergic rhinitis","SYM","","http://www.drugbank.ca/drugs/DB00985","http://www.disease-ontology.org/term/DOID%3A4481"
"Dimenhydrinate","atopic dermatitis","SYM","","http://www.drugbank.ca/drugs/DB00985","http://www.disease-ontology.org/term/DOID%3A3310"
"Dimenhydrinate","schizophrenia","NOT","","http://www.drugbank.ca/drugs/DB00985","http://www.disease-ontology.org/term/DOID%3A5419"
"Dinoprostone","germ cell cancer","NOT","","http://www.drugbank.ca/drugs/DB00917","http://www.disease-ontology.org/term/DOID%3A2994"
"Dinoprostone","uterine cancer","NOT","","http://www.drugbank.ca/drugs/DB00917","http://www.disease-ontology.org/term/DOID%3A363"
"Diphenhydramine","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB01075","http://www.disease-ontology.org/term/DOID%3A14330"
"Diphenhydramine","allergic rhinitis","SYM","","http://www.drugbank.ca/drugs/DB01075","http://www.disease-ontology.org/term/DOID%3A4481"
"Diphenhydramine","atopic dermatitis","SYM","","http://www.drugbank.ca/drugs/DB01075","http://www.disease-ontology.org/term/DOID%3A3310"
"Diphenhydramine","schizophrenia","SYM","","http://www.drugbank.ca/drugs/DB01075","http://www.disease-ontology.org/term/DOID%3A5419"
"Dipivefrin","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00449","http://www.disease-ontology.org/term/DOID%3A1686"
"Dipivefrin","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00449","http://www.disease-ontology.org/term/DOID%3A10763"
"Dipyridamole","coronary artery disease","SYM","","http://www.drugbank.ca/drugs/DB00975","http://www.disease-ontology.org/term/DOID%3A3393"
"Disulfiram","alcohol dependence","SYM","","http://www.drugbank.ca/drugs/DB00822","http://www.disease-ontology.org/term/DOID%3A0050741"
"Docetaxel","breast cancer","DM","","http://www.drugbank.ca/drugs/DB01248","http://www.disease-ontology.org/term/DOID%3A1612"
"Docetaxel","head and neck cancer","DM","","http://www.drugbank.ca/drugs/DB01248","http://www.disease-ontology.org/term/DOID%3A11934"
"Docetaxel","lung cancer","DM","","http://www.drugbank.ca/drugs/DB01248","http://www.disease-ontology.org/term/DOID%3A1324"
"Docetaxel","melanoma","DM","","http://www.drugbank.ca/drugs/DB01248","http://www.disease-ontology.org/term/DOID%3A1909"
"Docetaxel","ovarian cancer","DM","","http://www.drugbank.ca/drugs/DB01248","http://www.disease-ontology.org/term/DOID%3A2394"
"Docetaxel","pancreatic cancer","DM","","http://www.drugbank.ca/drugs/DB01248","http://www.disease-ontology.org/term/DOID%3A1793"
"Docetaxel","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB01248","http://www.disease-ontology.org/term/DOID%3A10283"
"Docetaxel","skin cancer","DM","","http://www.drugbank.ca/drugs/DB01248","http://www.disease-ontology.org/term/DOID%3A4159"
"Docetaxel","stomach cancer","DM","","http://www.drugbank.ca/drugs/DB01248","http://www.disease-ontology.org/term/DOID%3A10534"
"Donepezil","Alzheimer's disease","SYM","","http://www.drugbank.ca/drugs/DB00843","http://www.disease-ontology.org/term/DOID%3A10652"
"Dopamine","coronary artery disease","NOT","","http://www.drugbank.ca/drugs/DB00988","http://www.disease-ontology.org/term/DOID%3A3393"
"Dopamine","hypertension","SYM","","http://www.drugbank.ca/drugs/DB00988","http://www.disease-ontology.org/term/DOID%3A10763"
"Dorzolamide","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00869","http://www.disease-ontology.org/term/DOID%3A1686"
"Dorzolamide","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00869","http://www.disease-ontology.org/term/DOID%3A10763"
"Doxazosin","hypertension","DM","","http://www.drugbank.ca/drugs/DB00590","http://www.disease-ontology.org/term/DOID%3A10763"
"Doxepin","atopic dermatitis","SYM","","http://www.drugbank.ca/drugs/DB01142","http://www.disease-ontology.org/term/DOID%3A3310"
"Doxorubicin","acquired immunodeficiency syndrome","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A635"
"Doxorubicin","bone cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A184"
"Doxorubicin","breast cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A1612"
"Doxorubicin","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A2531"
"Doxorubicin","kidney cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A263"
"Doxorubicin","liver cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A3571"
"Doxorubicin","lung cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A1324"
"Doxorubicin","muscle cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A4045"
"Doxorubicin","ovarian cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A2394"
"Doxorubicin","pancreatic cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A1793"
"Doxorubicin","peripheral nervous system neoplasm","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A1192"
"Doxorubicin","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A10283"
"Doxorubicin","sarcoma","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A1115"
"Doxorubicin","stomach cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A10534"
"Doxorubicin","testicular cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A2998"
"Doxorubicin","thyroid cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A1781"
"Doxorubicin","urinary bladder cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A11054"
"Doxorubicin","uterine cancer","DM","","http://www.drugbank.ca/drugs/DB00997","http://www.disease-ontology.org/term/DOID%3A363"
"Doxycycline","chronic obstructive pulmonary disease","SYM","tough decision","http://www.drugbank.ca/drugs/DB00254","http://www.disease-ontology.org/term/DOID%3A3083"
"Doxycycline","malaria","DM","","http://www.drugbank.ca/drugs/DB00254","http://www.disease-ontology.org/term/DOID%3A12365"
"Drospirenone","polycystic ovary syndrome","SYM","","http://www.drugbank.ca/drugs/DB01395","http://www.disease-ontology.org/term/DOID%3A11612"
"Duloxetine","bipolar disorder","SYM","","http://www.drugbank.ca/drugs/DB00476","http://www.disease-ontology.org/term/DOID%3A3312"
"Duloxetine","endogenous depression","SYM","","http://www.drugbank.ca/drugs/DB00476","http://www.disease-ontology.org/term/DOID%3A1595"
"Dyphylline","asthma","SYM","","http://www.drugbank.ca/drugs/DB00651","http://www.disease-ontology.org/term/DOID%3A2841"
"Echothiophate","glaucoma","DM","glaucoma is tough too. ","http://www.drugbank.ca/drugs/DB01057","http://www.disease-ontology.org/term/DOID%3A1686"
"Echothiophate","refractive error","SYM","","http://www.drugbank.ca/drugs/DB01057","http://www.disease-ontology.org/term/DOID%3A9835"
"Efavirenz","acquired immunodeficiency syndrome","DM","","http://www.drugbank.ca/drugs/DB00625","http://www.disease-ontology.org/term/DOID%3A635"
"Eletriptan","migraine","SYM","","http://www.drugbank.ca/drugs/DB00216","http://www.disease-ontology.org/term/DOID%3A6364"
"Enalapril","coronary artery disease","SYM","","http://www.drugbank.ca/drugs/DB00584","http://www.disease-ontology.org/term/DOID%3A3393"
"Enalapril","hypertension","DM","","http://www.drugbank.ca/drugs/DB00584","http://www.disease-ontology.org/term/DOID%3A10763"
"Enalapril","rheumatoid arthritis","NOT","","http://www.drugbank.ca/drugs/DB00584","http://www.disease-ontology.org/term/DOID%3A7148"
"Entacapone","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB00494","http://www.disease-ontology.org/term/DOID%3A14330"
"Entecavir","hepatitis B","DM","","http://www.drugbank.ca/drugs/DB00442","http://www.disease-ontology.org/term/DOID%3A2043"
"Ephedrine","allergic rhinitis","SYM","","http://www.drugbank.ca/drugs/DB01364","http://www.disease-ontology.org/term/DOID%3A4481"
"Ephedrine","asthma","SYM","","http://www.drugbank.ca/drugs/DB01364","http://www.disease-ontology.org/term/DOID%3A2841"
"Epinephrine","allergic rhinitis","SYM","","http://www.drugbank.ca/drugs/DB00668","http://www.disease-ontology.org/term/DOID%3A4481"
"Epinephrine","asthma","SYM","","http://www.drugbank.ca/drugs/DB00668","http://www.disease-ontology.org/term/DOID%3A2841"
"Epinephrine","glaucoma","SYM","","http://www.drugbank.ca/drugs/DB00668","http://www.disease-ontology.org/term/DOID%3A1686"
"Epirubicin","acquired immunodeficiency syndrome","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A635"
"Epirubicin","bone cancer","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A184"
"Epirubicin","breast cancer","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A1612"
"Epirubicin","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A2531"
"Epirubicin","liver cancer","DM","Pilot classification: disease-modifying; Pilot notes:","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A3571"
"Epirubicin","ovarian cancer","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A2394"
"Epirubicin","pancreatic cancer","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A1793"
"Epirubicin","peripheral nervous system neoplasm","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A1192"
"Epirubicin","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A10283"
"Epirubicin","sarcoma","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A1115"
"Epirubicin","stomach cancer","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A10534"
"Epirubicin","testicular cancer","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A2998"
"Epirubicin","thyroid cancer","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A1781"
"Epirubicin","urinary bladder cancer","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A11054"
"Epirubicin","uterine cancer","DM","","http://www.drugbank.ca/drugs/DB00445","http://www.disease-ontology.org/term/DOID%3A363"
"Eplerenone","coronary artery disease","DM","DM in pts with CHF to prevent MI","http://www.drugbank.ca/drugs/DB00700","http://www.disease-ontology.org/term/DOID%3A3393"
"Eplerenone","hypertension","DM","","http://www.drugbank.ca/drugs/DB00700","http://www.disease-ontology.org/term/DOID%3A10763"
"Epoprostenol","atherosclerosis","NOT","","http://www.drugbank.ca/drugs/DB01240","http://www.disease-ontology.org/term/DOID%3A1936"
"Epoprostenol","hypertension","NOT","","http://www.drugbank.ca/drugs/DB01240","http://www.disease-ontology.org/term/DOID%3A10763"
"Epoprostenol","systemic scleroderma","NOT","?raynauds ","http://www.drugbank.ca/drugs/DB01240","http://www.disease-ontology.org/term/DOID%3A418"
"Eprosartan","hypertension","DM","","http://www.drugbank.ca/drugs/DB00876","http://www.disease-ontology.org/term/DOID%3A10763"
"Ergocalciferol","metabolic syndrome X","SYM","","http://www.drugbank.ca/drugs/DB00153","http://www.disease-ontology.org/term/DOID%3A14221"
"Ergocalciferol","osteoporosis","SYM","","http://www.drugbank.ca/drugs/DB00153","http://www.disease-ontology.org/term/DOID%3A11476"
"Ergocalciferol","rheumatoid arthritis","SYM","","http://www.drugbank.ca/drugs/DB00153","http://www.disease-ontology.org/term/DOID%3A7148"
"Ergotamine","migraine","SYM","","http://www.drugbank.ca/drugs/DB00696","http://www.disease-ontology.org/term/DOID%3A6364"
"Eribulin","breast cancer","DM","","http://www.drugbank.ca/drugs/DB08871","http://www.disease-ontology.org/term/DOID%3A1612"
"Erlotinib","kidney cancer","DM","","http://www.drugbank.ca/drugs/DB00530","http://www.disease-ontology.org/term/DOID%3A263"
"Erlotinib","lung cancer","DM","","http://www.drugbank.ca/drugs/DB00530","http://www.disease-ontology.org/term/DOID%3A1324"
"Erlotinib","pancreatic cancer","DM","","http://www.drugbank.ca/drugs/DB00530","http://www.disease-ontology.org/term/DOID%3A1793"
"Escitalopram","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB01175","http://www.disease-ontology.org/term/DOID%3A14330"
"Escitalopram","bipolar disorder","SYM","","http://www.drugbank.ca/drugs/DB01175","http://www.disease-ontology.org/term/DOID%3A3312"
"Escitalopram","endogenous depression","SYM","","http://www.drugbank.ca/drugs/DB01175","http://www.disease-ontology.org/term/DOID%3A1595"
"Esmolol","hypertension","DM","","http://www.drugbank.ca/drugs/DB00187","http://www.disease-ontology.org/term/DOID%3A10763"
"Esomeprazole","Barrett's esophagus","DM","","http://www.drugbank.ca/drugs/DB00736","http://www.disease-ontology.org/term/DOID%3A9206"
"Esomeprazole","allergic rhinitis","NOT","","http://www.drugbank.ca/drugs/DB00736","http://www.disease-ontology.org/term/DOID%3A4481"
"Esomeprazole","ankylosing spondylitis","NOT","","http://www.drugbank.ca/drugs/DB00736","http://www.disease-ontology.org/term/DOID%3A7147"
"Esomeprazole","esophageal cancer","SYM","","http://www.drugbank.ca/drugs/DB00736","http://www.disease-ontology.org/term/DOID%3A5041"
"Esomeprazole","kidney cancer","NOT","","http://www.drugbank.ca/drugs/DB00736","http://www.disease-ontology.org/term/DOID%3A263"
"Esomeprazole","prostate cancer","NOT","","http://www.drugbank.ca/drugs/DB00736","http://www.disease-ontology.org/term/DOID%3A10283"
"Esomeprazole","rheumatoid arthritis","NOT","","http://www.drugbank.ca/drugs/DB00736","http://www.disease-ontology.org/term/DOID%3A7148"
"Esomeprazole","systemic lupus erythematosus","NOT","weird, maybe b/c a lot of these diseases rx steroids/ppi combo","http://www.drugbank.ca/drugs/DB00736","http://www.disease-ontology.org/term/DOID%3A9074"
"Esomeprazole","systemic scleroderma","NOT","","http://www.drugbank.ca/drugs/DB00736","http://www.disease-ontology.org/term/DOID%3A418"
"Estradiol","breast cancer","DM","","http://www.drugbank.ca/drugs/DB00783","http://www.disease-ontology.org/term/DOID%3A1612"
"Estradiol","coronary artery disease","NOT","","http://www.drugbank.ca/drugs/DB00783","http://www.disease-ontology.org/term/DOID%3A3393"
"Estradiol","osteoporosis","DM","","http://www.drugbank.ca/drugs/DB00783","http://www.disease-ontology.org/term/DOID%3A11476"
"Estradiol","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB00783","http://www.disease-ontology.org/term/DOID%3A10283"
"Estradiol","uterine cancer","DM","","http://www.drugbank.ca/drugs/DB00783","http://www.disease-ontology.org/term/DOID%3A363"
"Estradiol valerate/Dienogest","breast cancer","DM","","http://www.drugbank.ca/drugs/DB08866","http://www.disease-ontology.org/term/DOID%3A1612"
"Estradiol valerate/Dienogest","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB08866","http://www.disease-ontology.org/term/DOID%3A10283"
"Estramustine","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB01196","http://www.disease-ontology.org/term/DOID%3A10283"
"Estrone","breast cancer","NOT","","http://www.drugbank.ca/drugs/DB00655","http://www.disease-ontology.org/term/DOID%3A1612"
"Estrone","prostate cancer","NOT","","http://www.drugbank.ca/drugs/DB00655","http://www.disease-ontology.org/term/DOID%3A10283"
"Estropipate","osteoporosis","DM","","http://www.drugbank.ca/drugs/DB04574","http://www.disease-ontology.org/term/DOID%3A11476"
"Eszopiclone","multiple sclerosis","SYM","","http://www.drugbank.ca/drugs/DB00402","http://www.disease-ontology.org/term/DOID%3A2377"
"Eszopiclone","schizophrenia","SYM","","http://www.drugbank.ca/drugs/DB00402","http://www.disease-ontology.org/term/DOID%3A5419"
"Ethacrynic acid","chronic kidney failure","SYM","","http://www.drugbank.ca/drugs/DB00903","http://www.disease-ontology.org/term/DOID%3A784"
"Ethacrynic acid","hypertension","SYM","loop diuretic","http://www.drugbank.ca/drugs/DB00903","http://www.disease-ontology.org/term/DOID%3A10763"
"Ethinyl Estradiol","breast cancer","DM","Pilot classification: disease-modifying; Pilot notes: estrogens can stimulate progression of ER+BrCa but high-dose estrogens may suppress their growth","http://www.drugbank.ca/drugs/DB00977","http://www.disease-ontology.org/term/DOID%3A1612"
"Ethinyl Estradiol","osteoporosis","DM","","http://www.drugbank.ca/drugs/DB00977","http://www.disease-ontology.org/term/DOID%3A11476"
"Ethinyl Estradiol","polycystic ovary syndrome","SYM","","http://www.drugbank.ca/drugs/DB00977","http://www.disease-ontology.org/term/DOID%3A11612"
"Ethinyl Estradiol","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB00977","http://www.disease-ontology.org/term/DOID%3A10283"
"Etidronic acid","Paget's disease of bone","DM","","http://www.drugbank.ca/drugs/DB01077","http://www.disease-ontology.org/term/DOID%3A5408"
"Etidronic acid","osteoporosis","DM","Pilot classification: disease-modifying; Pilot notes:","http://www.drugbank.ca/drugs/DB01077","http://www.disease-ontology.org/term/DOID%3A11476"
"Etodolac","osteoarthritis","SYM","","http://www.drugbank.ca/drugs/DB00749","http://www.disease-ontology.org/term/DOID%3A8398"
"Etomidate","epilepsy syndrome","SYM","","http://www.drugbank.ca/drugs/DB00292","http://www.disease-ontology.org/term/DOID%3A1826"
"Etoposide","brain cancer","DM","","http://www.drugbank.ca/drugs/DB00773","http://www.disease-ontology.org/term/DOID%3A1319"
"Etoposide","germ cell cancer","DM","","http://www.drugbank.ca/drugs/DB00773","http://www.disease-ontology.org/term/DOID%3A2994"
"Etoposide","hematologic cancer","DM","Pilot classification: disease-modifying; Pilot notes:","http://www.drugbank.ca/drugs/DB00773","http://www.disease-ontology.org/term/DOID%3A2531"
"Etoposide","lung cancer","DM","","http://www.drugbank.ca/drugs/DB00773","http://www.disease-ontology.org/term/DOID%3A1324"
"Etoposide","muscle cancer","DM","Pilot classification: disease-modifying; Pilot notes:","http://www.drugbank.ca/drugs/DB00773","http://www.disease-ontology.org/term/DOID%3A4045"
"Etoposide","peripheral nervous system neoplasm","DM","","http://www.drugbank.ca/drugs/DB00773","http://www.disease-ontology.org/term/DOID%3A1192"
"Etoposide","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB00773","http://www.disease-ontology.org/term/DOID%3A10283"
"Etoposide","sarcoma","DM","","http://www.drugbank.ca/drugs/DB00773","http://www.disease-ontology.org/term/DOID%3A1115"
"Etoposide","testicular cancer","DM","","http://www.drugbank.ca/drugs/DB00773","http://www.disease-ontology.org/term/DOID%3A2998"
"Etoposide","urinary bladder cancer","DM","","http://www.drugbank.ca/drugs/DB00773","http://www.disease-ontology.org/term/DOID%3A11054"
"Etoposide","uterine cancer","DM","","http://www.drugbank.ca/drugs/DB00773","http://www.disease-ontology.org/term/DOID%3A363"
"Everolimus","kidney cancer","DM","","http://www.drugbank.ca/drugs/DB01590","http://www.disease-ontology.org/term/DOID%3A263"
"Exemestane","breast cancer","DM","","http://www.drugbank.ca/drugs/DB00990","http://www.disease-ontology.org/term/DOID%3A1612"
"Ezetimibe","atherosclerosis","DM","","http://www.drugbank.ca/drugs/DB00973","http://www.disease-ontology.org/term/DOID%3A1936"
"Ezetimibe","coronary artery disease","DM","","http://www.drugbank.ca/drugs/DB00973","http://www.disease-ontology.org/term/DOID%3A3393"
"Felbamate","anemia","NOT","","http://www.drugbank.ca/drugs/DB00949","http://www.disease-ontology.org/term/DOID%3A2355"
"Felbamate","epilepsy syndrome","SYM","","http://www.drugbank.ca/drugs/DB00949","http://www.disease-ontology.org/term/DOID%3A1826"
